gx,gy,gz,del_t,ang
-192,60,-8,2741507715,0.024366353073130852
-197,57,-9,2741508249,0.024401245058422866
-208,56,-4,2741508809,0.024469249028275356
-194,70,-6,2741514461,0.02485069170291465
-198,65,-8,2741514997,0.02490685643323611
-178,70,1,2741520674,0.02396454859735593
-175,58,2,2741522301,0.023532348129516937
-190,67,-12,2741530189,0.024138656387791405
-196,71,-14,2741530738,0.024235940371007854
-198,72,-16,2741531273,0.02435522169882998
-196,69,-16,2741531898,0.024473371205939443
-199,69,-11,2741537471,0.025386050232023706
-198,65,-9,2741538007,0.025446833562268147
-193,65,-14,2741547195,0.026559230497832518
-197,63,-8,2741547799,0.02661068452650643
-195,63,-1,2741548895,0.026598241541518866
-199,63,-6,2741557178,0.027300846905757858
-208,61,2,2741557725,0.02734531059342644
-208,64,7,2741558819,0.027390505223453047
-192,76,2,2741567154,0.02727612668012439
-193,70,1,2741567711,0.02726725898996177
-195,63,1,2741568246,0.027252939402261558
-195,56,1,2741568806,0.027220625654013317
-190,64,-7,2741574458,0.0272764577360431
-190,68,-8,2741574994,0.027296783575224002
-179,74,-11,2741580669,0.027226147692078984
-187,67,-14,2741582298,0.02734277677858057
-187,86,-14,2741590185,0.028687606983745156
-179,81,-16,2741590743,0.02874600717167572
-178,76,-17,2741591278,0.028789065885906025
-190,69,-15,2741591915,0.02886904347159108
-192,83,-4,2741597468,0.029448098207659652
-194,84,-8,2741598004,0.029542580513131633
-167,60,-2,2741607195,0.027135752927513468
-169,53,1,2741607826,0.026938757161347335
-184,52,3,2741608898,0.02669464268038793
-185,69,-3,2741617206,0.02632954578614411
-185,72,-6,2741617765,0.026336096700965875
-188,73,-2,2741618861,0.02632795712632831
-186,59,-4,2741627155,0.02561901854105561
-191,51,3,2741627709,0.025519073311120192
-190,51,3,2741628244,0.0254192341915754
-191,60,0,2741628803,0.02536899575431831
-187,76,-8,2741634455,0.0257892705351738
-190,73,-6,2741634992,0.025818275820447472
-183,66,-1,2741643701,0.0249759575597941
-189,63,-4,2741644267,0.024954004167717078
-200,76,-6,2741645479,0.025121993909646433
-201,76,-8,2741653206,0.026456743484465868
-198,77,-9,2741653776,0.026555455275586542
-196,74,-9,2741654871,0.026708458776545974
-199,70,-10,2741663207,0.027930629023931543
-196,71,-8,2741663764,0.02799121618256045
-193,74,-2,2741664299,0.028010639061716136
-186,66,-7,2741669996,0.027970133070983505
-182,63,-16,2741684612,0.02893627872681741
-188,63,-18,2741685147,0.02901082605948543
-189,66,-16,2741685691,0.029085303120845698
-186,67,-8,2741686226,0.029097139696368814
-191,70,-2,2741699634,0.028973544140950727
-189,76,-7,2741700169,0.029016371718027536
-185,78,-9,2741700728,0.029069509360419927
-189,76,-13,2741701263,0.02915364279502816
-189,59,0,2741715164,0.02761604819055663
-192,64,-3,2741715722,0.02760237581907119
-197,66,-8,2741716257,0.02764560685849785
-194,68,-12,2741716807,0.027714970092603843
-194,59,-4,2741734137,0.027351431086947292
-189,62,-5,2741734739,0.027338552503177942
-189,76,-9,2741735275,0.027387352047801343
-189,77,-16,2741735818,0.02748930393095732
-191,88,-3,2741741481,0.027980357483817886
-194,86,1,2741742046,0.02801087342663424
-181,76,-11,2741751165,0.028744651015804923
-177,74,-11,2741751723,0.02877497574206209
-183,73,-4,2741752817,0.028764858972912925
-197,61,-13,2741760749,0.02968573726464523
-197,67,-15,2741761284,0.029780713945052686
-196,69,-15,2741761842,0.029882585377368532
-193,70,-8,2741762377,0.029924711530228104
-187,55,-2,2741770135,0.029074610602360645
-189,55,-2,2741770691,0.029022042100119674
